# Size ExpectedDensity IndexOfInstance timeLCL DensityLCL timeGreedy DensityGreedy
100 0.2 32 0 1546 0 1546
100 0.2 33 1 1643 0 1643
100 0.2 34 1 1711 0 1711
100 0.2 35 1 1605 0 1605
100 0.2 36 1 1685 0 1685
100 0.2 37 1 1670 0 1670
100 0.2 38 0 1633 1 1633
100 0.2 39 0 1664 1 1664
100 0.2 40 0 1754 1 1754
100 0.2 41 0 1580 1 1580
100 0.2 42 0 1534 1 1534
100 0.2 43 0 1659 0 1659
100 0.2 44 0 1701 0 1701
100 0.2 45 0 1814 0 1814
100 0.2 46 0 1670 0 1670
100 0.2 47 0 1668 0 1668
100 0.2 48 1 1521 0 1521
100 0.2 49 1 1563 0 1563
100 0.2 50 1 1644 0 1644
100 0.3 0 1 3582 0 3582
100 0.3 1 1 3433 0 3433
100 0.3 2 1 3719 0 3719
100 0.3 3 1 3439 0 3439
100 0.3 4 1 3726 0 3726
100 0.3 5 1 3364 0 3364
100 0.3 6 1 3588 0 3588
100 0.3 7 1 3412 0 3412
100 0.3 8 1 3465 0 3465
100 0.3 9 1 3427 0 3427
100 0.3 10 1 3725 0 3725
100 0.3 11 1 3679 0 3679
100 0.3 12 1 3597 0 3597
100 0.3 13 1 3422 0 3422
100 0.3 14 1 3266 0 3266
100 0.3 15 1 3534 0 3534
100 0.3 16 1 3688 0 3688
100 0.3 17 1 3422 0 3422
100 0.3 18 1 3518 0 3518
100 0.3 19 1 3629 0 3629
100 0.3 20 1 3335 0 3335
100 0.3 21 1 3403 0 3403
100 0.3 22 1 3474 0 3474
100 0.3 23 1 3705 0 3705
100 0.3 24 1 3663 0 3663
100 0.3 25 0 3384 0 3384
100 0.3 26 0 3559 0 3559
100 0.3 27 0 3282 1 3282
100 0.3 28 0 3501 0 3501
100 0.3 29 0 3522 1 3522
100 0.3 30 0 3400 1 3400
100 0.3 31 0 3547 0 3547
100 0.3 32 0 3681 1 3681
100 0.3 33 0 3533 1 3533
100 0.3 34 0 3485 1 3485
100 0.3 35 0 3422 0 3422
100 0.3 36 0 3627 0 3627
100 0.3 37 0 3643 0 3643
100 0.3 38 0 3287 0 3287
100 0.3 39 0 3598 1 3598
100 0.3 40 0 3290 1 3290
100 0.3 41 0 3677 1 3677
100 0.3 42 0 3360 1 3360
100 0.3 43 0 3569 1 3569
100 0.3 44 0 3656 1 3656
100 0.3 45 1 3356 0 3356
100 0.3 46 1 3494 0 3494
100 0.3 47 1 3617 0 3617
100 0.3 48 1 3506 0 3506
100 0.3 49 1 3481 0 3481
100 0.3 50 1 3514 0 3514
200 0.01 0 7 448 23 399
200 0.01 1 1 468 20 379
200 0.01 2 2 419 21 378
200 0.01 3 1 458 22 374
200 0.01 4 1 454 18 373
200 0.01 5 0 404 16 342
200 0.01 6 0 443 18 356
200 0.01 7 1 449 17 377
200 0.01 8 1 454 17 367
200 0.01 9 1 440 19 373
200 0.01 10 0 430 19 398
200 0.01 11 1 421 19 374
200 0.01 12 0 422 15 338
200 0.01 13 1 457 18 425
200 0.01 14 0 391 17 382
200 0.01 15 0 431 15 369
200 0.01 16 1 494 15 398
200 0.01 17 0 452 19 392
200 0.01 18 1 464 17 363
200 0.01 19 0 445 17 396
200 0.01 20 1 465 18 396
200 0.01 21 0 469 18 396
200 0.01 22 0 445 19 370
200 0.01 23 0 437 17 384
200 0.01 24 0 397 18 409
200 0.01 25 1 410 16 376
200 0.01 26 1 492 17 404
200 0.01 27 0 484 18 412
200 0.01 28 1 524 20 424
200 0.01 29 0 423 17 350
200 0.01 30 0 472 18 390
200 0.01 31 0 469 18 407
200 0.01 32 1 384 16 369
200 0.01 33 0 497 18 367
200 0.01 34 1 482 17 399
200 0.01 35 1 395 16 370
200 0.01 36 0 450 18 369
200 0.01 37 0 499 17 381
200 0.01 38 0 416 18 359
200 0.01 39 1 422 17 381
200 0.01 40 1 498 18 406
200 0.01 41 0 509 17 355
200 0.01 42 0 443 17 411
200 0.01 43 0 443 19 374
200 0.01 44 1 456 19 408
200 0.01 45 0 419 17 384
200 0.01 46 1 436 17 328
200 0.01 47 0 477 17 356
200 0.01 48 0 461 18 380
200 0.01 49 1 449 17 410
200 0.01 50 0 454 18 452
200 0.02 0 1 676 22 609
200 0.02 1 1 718 25 637
200 0.02 2 1 670 21 558
200 0.02 3 1 661 23 612
200 0.02 4 0 656 24 580
200 0.02 5 1 605 22 528
200 0.02 6 0 685 21 544
200 0.02 7 1 682 22 625
200 0.02 8 1 702 23 658
200 0.02 9 0 644 21 623
200 0.02 10 0 708 23 626
200 0.02 11 1 625 21 543
200 0.02 12 1 645 24 627
200 0.02 13 1 725 22 630
200 0.02 14 0 692 22 602
200 0.02 15 1 659 25 594
200 0.02 16 0 675 21 606
200 0.02 17 1 653 23 566
200 0.02 18 1 720 21 634
200 0.02 19 1 723 23 702
200 0.02 20 1 667 23 591
200 0.02 21 0 630 22 526
200 0.02 22 1 559 22 563
200 0.02 23 0 649 24 569
200 0.02 24 0 650 24 561
200 0.02 25 1 610 22 649
200 0.02 26 0 661 22 548
200 0.02 27 1 651 22 610
200 0.02 28 0 717 25 637
200 0.02 29 1 660 21 605
200 0.02 30 1 748 23 629
200 0.02 31 1 705 23 609
200 0.02 32 1 682 22 588
200 0.02 33 0 682 24 594
200 0.02 34 0 641 23 609
200 0.02 35 1 696 23 592
200 0.02 36 0 648 21 567
200 0.02 37 1 686 23 660
200 0.02 38 1 704 21 624
200 0.02 39 1 741 23 612
200 0.02 40 1 740 23 577
200 0.02 41 0 662 24 645
200 0.02 42 0 637 21 583
200 0.02 43 1 625 23 601
200 0.02 44 1 706 22 662
200 0.02 45 1 643 23 604
200 0.02 46 0 688 23 585
200 0.02 47 0 666 23 630
200 0.02 48 1 643 23 640
200 0.02 49 0 636 22 611
200 0.02 50 2 690 22 530
200 0.03 0 1 852 23 823
200 0.03 1 0 828 22 803
200 0.03 2 1 879 22 818
200 0.03 3 1 923 21 862
200 0.03 4 1 861 21 792
200 0.03 5 1 902 21 817
200 0.03 6 0 894 22 853
200 0.03 7 1 868 22 797
200 0.03 8 0 877 21 868
200 0.03 9 1 834 20 769
200 0.03 10 1 822 22 806
200 0.03 11 1 813 22 772
200 0.03 12 0 887 21 833
200 0.03 13 1 841 21 793
200 0.03 14 0 877 22 801
200 0.03 15 0 827 22 817
200 0.03 16 0 930 22 808
200 0.03 17 1 909 21 832
200 0.03 18 1 872 23 873
200 0.03 19 1 864 21 800
200 0.03 20 1 920 22 830
200 0.03 21 1 871 22 818
200 0.03 22 1 886 22 886
200 0.03 23 1 807 20 774
200 0.03 24 1 750 21 807
